Pokemon_1,Pokemon_2,Winner
Vanillite,Froakie,Froakie
Inkay,Zapdos,Zapdos
Celebi,Avalugg,Avalugg
Lickilicky,Azelf,Azelf
Makuhita,SwampertMega Swampert,SwampertMega Swampert
Rampardos,Lucario,Lucario
Uxie,Swampert,Uxie
Magneton,Toxicroak,Toxicroak
Ralts,Nidoran♂,Nidoran♂
Cryogonal,MeowsticMale,MeowsticMale
Bouffalant,Lopunny,Lopunny
Nidoran♂,CharizardMega Charizard Y,CharizardMega Charizard Y
Togepi,Audino,Audino
MeowsticMale,LatiosMega Latios,LatiosMega Latios
Dratini,Bagon,Bagon
WormadamPlant Cloak,Gastly,WormadamPlant Cloak
Poliwhirl,MetagrossMega Metagross,MetagrossMega Metagross
Rotom,Magby,Rotom
Suicune,Pawniard,Suicune
Sharpedo,Wingull,Sharpedo
Alomomola,Clawitzer,Alomomola
Hitmonlee,Oshawott,Hitmonlee
HoundoomMega Houndoom,Pichu,HoundoomMega Houndoom
Feraligatr,AbomasnowMega Abomasnow,AbomasnowMega Abomasnow
Haxorus,Togepi,Haxorus
Glaceon,Regice,Regice
GourgeistLarge Size,Amaura,GourgeistLarge Size
Wobbuffet,Wartortle,Wartortle
MetagrossMega Metagross,Probopass,MetagrossMega Metagross
Bulbasaur,Sandshrew,Bulbasaur
Slakoth,Slurpuff,Slurpuff
Gothita,Treecko,Treecko
Reshiram,AltariaMega Altaria,AltariaMega Altaria
Sigilyph,Pidgeot,Pidgeot
ManectricMega Manectric,Sliggoo,ManectricMega Manectric
WormadamPlant Cloak,Sunkern,WormadamPlant Cloak
Skorupi,Eevee,Eevee
Porygon,Garbodor,Garbodor
Weepinbell,Ralts,Weepinbell
Roserade,Amaura,Roserade
Palpitoad,Klefki,Klefki
Elgyem,Oddish,Oddish
Wailord,Dugtrio,Dugtrio
Porygon2,Squirtle,Porygon2
Avalugg,Mudkip,Avalugg
Cresselia,Zapdos,Zapdos
Lickitung,Electivire,Electivire
Electrike,Kingdra,Kingdra
Ambipom,Marill,Ambipom
Duskull,Archen,Archen
GourgeistSuper Size,Skarmory,Skarmory
Volbeat,Tranquill,Volbeat
Darkrai,Diancie,Diancie
Houndour,Luxio,Houndour
Diggersby,Rhyhorn,Diggersby
Celebi,Hippowdon,Celebi
Omastar,Solosis,Omastar
MedichamMega Medicham,Uxie,Uxie
Groudon,Vullaby,Groudon
Whirlipede,Crustle,Crustle
Lanturn,Typhlosion,Typhlosion
Solosis,AlakazamMega Alakazam,AlakazamMega Alakazam
Shuckle,Pineco,Shuckle
Lumineon,Vanillish,Vanillish
Marowak,KeldeoOrdinary Forme,KeldeoOrdinary Forme
RotomHeat Rotom,Darumaka,RotomHeat Rotom
KangaskhanMega Kangaskhan,Audino,KangaskhanMega Kangaskhan
Carvanha,Rhydon,Rhydon
Beautifly,Phantump,Phantump
Porygon2,BanetteMega Banette,BanetteMega Banette
GiratinaOrigin Forme,Nidorino,GiratinaOrigin Forme
Binacle,Tentacool,Tentacool
ManectricMega Manectric,Latios,Latios
Tauros,AltariaMega Altaria,Tauros
Mareep,Porygon-Z,Porygon-Z
Phanpy,Rapidash,Rapidash
Meditite,Flareon,Flareon
Reshiram,Poliwag,Reshiram
Ariados,Garbodor,Garbodor
Throh,ManectricMega Manectric,ManectricMega Manectric
BlastoiseMega Blastoise,MeowsticMale,BlastoiseMega Blastoise
Skitty,AmpharosMega Ampharos,AmpharosMega Ampharos
Simisage,RotomFan Rotom,Simisage
Whimsicott,DeoxysDefense Forme,Whimsicott
Virizion,Honedge,Virizion
PumpkabooAverage Size,Torkoal,Torkoal
Electrode,AudinoMega Audino,Electrode
Chatot,RotomWash Rotom,RotomWash Rotom
Rhyperior,Deino,Rhyperior
Eelektross,Zweilous,Zweilous
Shieldon,Remoraid,Remoraid
MewtwoMega Mewtwo X,Ivysaur,MewtwoMega Mewtwo X
Espeon,Staravia,Espeon
Lillipup,Swanna,Swanna
Pansage,Hypno,Hypno
Shedinja,Dialga,Dialga
Nidoran♀,Yanmega,Yanmega
Rampardos,MedichamMega Medicham,MedichamMega Medicham
Dratini,Joltik,Joltik
Forretress,RotomFrost Rotom,RotomFrost Rotom
Dragalge,Manaphy,Manaphy
Buneary,Swalot,Swalot
Jellicent,Serperior,Serperior
Sandshrew,AudinoMega Audino,AudinoMega Audino
PumpkabooLarge Size,Venusaur,Venusaur
Natu,Spewpa,Natu
SharpedoMega Sharpedo,RotomFan Rotom,RotomFan Rotom
Carvanha,Durant,Durant
Gulpin,Rampardos,Rampardos
Staraptor,Lotad,Staraptor
TornadusIncarnate Forme,Malamar,Malamar
MewtwoMega Mewtwo X,Deino,MewtwoMega Mewtwo X
Litwick,Shedinja,Shedinja
Lileep,Blitzle,Blitzle
Lucario,Nidoqueen,Nidoqueen
Carracosta,Kakuna,Carracosta
Mankey,Forretress,Forretress
Porygon-Z,Lucario,Porygon-Z
Ditto,Umbreon,Umbreon
Dragonair,Slowking,Slowking
Excadrill,Dodrio,Dodrio
DeoxysNormal Forme,Throh,DeoxysNormal Forme
Cradily,Gliscor,Gliscor
Mantine,Karrablast,Mantine
Primeape,Bastiodon,Primeape
Feebas,PumpkabooSuper Size,PumpkabooSuper Size
Arbok,Gligar,Gligar
Minccino,Regice,Regice
Flareon,Rampardos,Rampardos
Sigilyph,Duskull,Sigilyph
Quagsire,Fraxure,Fraxure
Primeape,Maractus,Primeape
AbomasnowMega Abomasnow,Poliwag,AbomasnowMega Abomasnow
Zapdos,AbomasnowMega Abomasnow,Zapdos
Swinub,Seel,Seel
Dusknoir,Barboach,Dusknoir
Garbodor,Azelf,Azelf
Trubbish,Luvdisc,Luvdisc
Terrakion,Alomomola,Terrakion
Pinsir,Tangrowth,Pinsir
Kangaskhan,Snubbull,Kangaskhan
Tyrogue,Pidove,Pidove
Claydol,Glaceon,Glaceon
SteelixMega Steelix,Wailord,Wailord
LandorusTherian Forme,Palkia,Palkia
Bonsly,Venomoth,Venomoth
Magby,Slakoth,Magby
Ledyba,VenusaurMega Venusaur,VenusaurMega Venusaur
Murkrow,Aggron,Aggron
Dewgong,Cherubi,Dewgong
Tangela,Heracross,Heracross
Volcarona,Goodra,Goodra
Vileplume,Charmeleon,Charmeleon
Swoobat,Ledian,Swoobat
Electrode,Weavile,Weavile
Chikorita,Turtwig,Chikorita
Doduo,Snorunt,Snorunt
Dusclops,Misdreavus,Misdreavus
Vigoroth,Porygon,Vigoroth
Ledyba,Bellossom,Bellossom
Solrock,Slowpoke,Solrock
Monferno,Garchomp,Garchomp
Happiny,Espeon,Espeon
Shinx,Seel,Seel
Togepi,Milotic,Milotic
Timburr,Croconaw,Croconaw
Whimsicott,Raichu,Raichu
Regirock,Dusknoir,Dusknoir
Sawsbuck,Quilava,Quilava
Shelgon,Skiploom,Skiploom
AudinoMega Audino,Audino,AudinoMega Audino
Ambipom,Exeggutor,Exeggutor
Gothorita,HoopaHoopa Unbound,HoopaHoopa Unbound
Seedot,Skrelp,Skrelp
Darkrai,Mareep,Darkrai
Eevee,Victini,Victini
Cleffa,Ralts,Ralts
Greninja,Clauncher,Greninja
Surskit,Nidoking,Nidoking
Luvdisc,Chandelure,Chandelure
PumpkabooSmall Size,Phanpy,PumpkabooSmall Size
Bronzor,Tangela,Tangela
Snorlax,Charmeleon,Snorlax
Mienshao,Machop,Mienshao
Heatran,MedichamMega Medicham,MedichamMega Medicham
Gothita,Blaziken,Blaziken
Phione,Staraptor,Staraptor
Wooper,Alakazam,Alakazam
Flygon,Swalot,Swalot
Ivysaur,Turtwig,Turtwig
Skuntank,SwampertMega Swampert,SwampertMega Swampert
Houndour,Ditto,Houndour
Haunter,Lampent,Lampent
PumpkabooSmall Size,Mightyena,Mightyena
GardevoirMega Gardevoir,Luxray,Luxray
Combee,Abomasnow,Abomasnow
Totodile,Crobat,Crobat
Pinsir,Dewott,Pinsir
Honchkrow,Wailord,Wailord
Servine,Bastiodon,Servine
Bidoof,GyaradosMega Gyarados,GyaradosMega Gyarados
Hydreigon,Swinub,Hydreigon
Golduck,Accelgor,Accelgor
Anorith,Charizard,Charizard
Kadabra,Skiddo,Kadabra
Lickilicky,LatiasMega Latias,LatiasMega Latias
PumpkabooSmall Size,Cryogonal,Cryogonal
Pineco,DarmanitanStandard Mode,DarmanitanStandard Mode
Krookodile,Excadrill,Krookodile
AlakazamMega Alakazam,Shellos,AlakazamMega Alakazam
Salamence,ShayminLand Forme,ShayminLand Forme
Simipour,Beautifly,Simipour
Metapod,Foongus,Foongus
Rhyhorn,Furfrou,Furfrou
Noibat,Klink,Klink
Ludicolo,GourgeistSuper Size,GourgeistSuper Size
Maractus,Bonsly,Maractus
Dwebble,Bayleef,Bayleef
Kadabra,Dustox,Kadabra
Cranidos,Bonsly,Bonsly
Ivysaur,DeoxysSpeed Forme,DeoxysSpeed Forme
Torkoal,Staraptor,Staraptor
RotomMow Rotom,Malamar,RotomMow Rotom
Dusclops,Seedot,Dusclops
Gastrodon,Grimer,Gastrodon
Smoochum,Conkeldurr,Conkeldurr
Pidgeotto,Ekans,Ekans
Skitty,Chespin,Chespin
Whimsicott,Igglybuff,Whimsicott
Sigilyph,Burmy,Sigilyph
Lickitung,Ludicolo,Ludicolo
Magcargo,Woobat,Magcargo
Armaldo,Moltres,Moltres
Kingdra,Clamperl,Kingdra
Frogadier,Absol,Absol
Volcanion,Swampert,Swampert
Staraptor,Mismagius,Mismagius
MawileMega Mawile,Ivysaur,Ivysaur
Nidorina,Ferrothorn,Ferrothorn
KyogrePrimal Kyogre,Fletchling,KyogrePrimal Kyogre
BlastoiseMega Blastoise,Tyrunt,BlastoiseMega Blastoise
BanetteMega Banette,Beedrill,BanetteMega Banette
WormadamTrash Cloak,Darkrai,Darkrai
Hoppip,Volcanion,Volcanion
Gulpin,ScizorMega Scizor,ScizorMega Scizor
Gible,Zigzagoon,Zigzagoon
Uxie,Gulpin,Uxie
Escavalier,Dratini,Escavalier
CharizardMega Charizard X,Plusle,CharizardMega Charizard X
Banette,Vulpix,Banette
Carracosta,Emboar,Emboar
Larvesta,Igglybuff,Larvesta
Trevenant,Eelektross,Eelektross
Cofagrigus,Malamar,Malamar
Dedenne,Ampharos,Ampharos
Spinarak,Vibrava,Vibrava
Simipour,Hitmonlee,Simipour
Hoppip,Wailord,Wailord
Dialga,Unown,Dialga
Wobbuffet,WormadamPlant Cloak,WormadamPlant Cloak
Gastrodon,Igglybuff,Gastrodon
Sigilyph,Doduo,Sigilyph
RayquazaMega Rayquaza,DeoxysDefense Forme,RayquazaMega Rayquaza
Florges,Zapdos,Zapdos
Archeops,Hydreigon,Archeops
Luxray,Rhyperior,Rhyperior
Magnemite,Regirock,Regirock
AudinoMega Audino,Quilladin,AudinoMega Audino
Ludicolo,Patrat,Ludicolo
Staraptor,Kadabra,Kadabra
Noctowl,Solosis,Noctowl
Skitty,Riolu,Riolu
AmpharosMega Ampharos,Rhyhorn,AmpharosMega Ampharos
Salamence,DeoxysDefense Forme,DeoxysDefense Forme
AudinoMega Audino,Lickilicky,Lickilicky
AudinoMega Audino,Carbink,Carbink
CharizardMega Charizard X,Krabby,CharizardMega Charizard X
Lileep,Rampardos,Rampardos
Delphox,Spheal,Delphox
Braixen,Lopunny,Lopunny
Espeon,Eelektrik,Eelektrik
Swellow,Metang,Swellow
MeowsticFemale,Chespin,MeowsticFemale
KyuremBlack Kyurem,Electrode,KyuremBlack Kyurem
Monferno,Entei,Entei
Fearow,Mamoswine,Mamoswine
Dusknoir,Beheeyem,Dusknoir
Lilligant,Masquerain,Masquerain
Crawdaunt,Ninetales,Ninetales
Shroomish,Pikachu,Pikachu
Servine,Burmy,Servine
SlowbroMega Slowbro,Dewott,SlowbroMega Slowbro
Nidoking,Dratini,Nidoking
Sawsbuck,Blitzle,Sawsbuck
Bonsly,Cranidos,Cranidos
Regigigas,Raikou,Raikou
Flabébé,Butterfree,Butterfree
Volbeat,Nidorino,Volbeat
Ekans,GalladeMega Gallade,GalladeMega Gallade
Vivillon,Klink,Vivillon
AegislashShield Forme,Sunflora,AegislashShield Forme
Phione,Vaporeon,Vaporeon
SwampertMega Swampert,Braixen,SwampertMega Swampert
Rattata,Pidgeot,Pidgeot
Skuntank,DarmanitanStandard Mode,DarmanitanStandard Mode
BlastoiseMega Blastoise,Wurmple,BlastoiseMega Blastoise
Spinda,Sigilyph,Sigilyph
Sandile,Mienfoo,Mienfoo
Ho-oh,Chinchou,Ho-oh
SalamenceMega Salamence,Krookodile,SalamenceMega Salamence
Koffing,Bouffalant,Bouffalant
Dugtrio,Wobbuffet,Wobbuffet
Swirlix,Porygon-Z,Porygon-Z
Armaldo,Eelektross,Eelektross
SwampertMega Swampert,Pidove,SwampertMega Swampert
Espurr,Zweilous,Zweilous
Poliwrath,Clamperl,Poliwrath
Gorebyss,Baltoy,Gorebyss
Staryu,AbsolMega Absol,AbsolMega Absol
KyogrePrimal Kyogre,Whimsicott,KyogrePrimal Kyogre
Koffing,Dwebble,Dwebble
Malamar,Darkrai,Darkrai
Raichu,Malamar,Raichu
Murkrow,Helioptile,Murkrow
Munchlax,Gothita,Munchlax
Clefable,Volbeat,Volbeat
Cherubi,Pupitar,Pupitar
Clamperl,Pidgeotto,Pidgeotto
Absol,Braviary,Braviary
Whiscash,PumpkabooSmall Size,Whiscash
LandorusTherian Forme,Vespiquen,Vespiquen
Flaaffy,Flygon,Flygon
Piplup,Taillow,Taillow
Vullaby,Flabébé,Flabébé
Heliolisk,Wailmer,Heliolisk
Ponyta,Hypno,Hypno
GourgeistSmall Size,Dugtrio,Dugtrio
Shelgon,Makuhita,Shelgon
Sewaddle,Karrablast,Karrablast
Solrock,Tentacruel,Tentacruel
GengarMega Gengar,Sneasel,GengarMega Gengar
Ralts,Malamar,Malamar
Wailmer,Gabite,Gabite
Braixen,Budew,Braixen
Stunky,Onix,Stunky
Whiscash,Seismitoad,Seismitoad
Venipede,HeracrossMega Heracross,HeracrossMega Heracross
Dragalge,Shellder,Dragalge
Snivy,Excadrill,Excadrill
Amaura,Granbull,Granbull
Rayquaza,Bouffalant,Rayquaza
Meganium,Flareon,Flareon
Goomy,DeoxysSpeed Forme,DeoxysSpeed Forme
Magcargo,Gurdurr,Gurdurr
Golbat,Hariyama,Golbat
Pansage,Luvdisc,Luvdisc
RotomFrost Rotom,Mothim,RotomFrost Rotom
Toxicroak,Glalie,Toxicroak
Politoed,Mankey,Politoed
Eevee,Horsea,Horsea
Ducklett,Porygon,Porygon
Lickilicky,Lilligant,Lilligant
Sandile,Gabite,Gabite
Skiploom,Darkrai,Darkrai
Nidoking,Cinccino,Cinccino
Meditite,Larvitar,Larvitar
Wartortle,Paras,Wartortle
Seaking,Dustox,Dustox
Vanillish,Xatu,Xatu
Corphish,Kabuto,Kabuto
Pangoro,Floette,Pangoro
Togetic,Unown,Unown
Venomoth,Baltoy,Venomoth
Furfrou,Mewtwo,Mewtwo
Whirlipede,Unown,Unown
Liepard,Carbink,Carbink
AbomasnowMega Abomasnow,PidgeotMega Pidgeot,PidgeotMega Pidgeot
Breloom,Cherubi,Breloom
Cofagrigus,Torkoal,Cofagrigus
Volcanion,Pupitar,Volcanion
Simipour,Rotom,Rotom
Tyrogue,Heatmor,Heatmor
Xatu,Surskit,Xatu
Snover,Gloom,Snover
Swampert,KyuremWhite Kyurem,KyuremWhite Kyurem
Cradily,MeloettaPirouette Forme,MeloettaPirouette Forme
Vileplume,Lairon,Lairon
LatiosMega Latios,Floatzel,LatiosMega Latios
LopunnyMega Lopunny,Ambipom,LopunnyMega Lopunny
Krokorok,Cascoon,Krokorok
Tauros,Crobat,Crobat
Quilava,Krabby,Quilava
Pangoro,Shuckle,Shuckle
Reshiram,Florges,Florges
Genesect,WormadamTrash Cloak,Genesect
Cryogonal,Mightyena,Cryogonal
Espurr,TyranitarMega Tyranitar,TyranitarMega Tyranitar
Shuppet,Dragonite,Dragonite
Fletchinder,Rhyperior,Rhyperior
Clauncher,Swadloon,Swadloon
Tyrogue,Gastly,Gastly
Ambipom,Heliolisk,Heliolisk
Shedinja,Bonsly,Bonsly
Chimecho,Bunnelby,Chimecho
Huntail,Heatmor,Heatmor
Greninja,Ferroseed,Greninja
Kadabra,Exeggcute,Exeggcute
Exeggutor,Persian,Persian
Poliwag,Ampharos,Ampharos
Moltres,Treecko,Moltres
Braixen,Poliwrath,Poliwrath
Geodude,Walrein,Walrein
Budew,Dragonair,Dragonair
Moltres,Rayquaza,Rayquaza
SteelixMega Steelix,Weedle,SteelixMega Steelix
Blaziken,Ferroseed,Blaziken
Clauncher,Miltank,Miltank
Jellicent,Tranquill,Jellicent
Graveler,Lapras,Lapras
Carracosta,Sylveon,Sylveon
Sentret,Shroomish,Shroomish
Cascoon,Charizard,Charizard
MeloettaAria Forme,Pachirisu,MeloettaAria Forme
Arbok,Scrafty,Scrafty
KyogrePrimal Kyogre,Voltorb,KyogrePrimal Kyogre
KangaskhanMega Kangaskhan,Gothita,KangaskhanMega Kangaskhan
Oshawott,Celebi,Celebi
Patrat,Wurmple,Patrat
Dusclops,Klefki,Klefki
Spheal,Geodude,Spheal
Purrloin,Poliwrath,Poliwrath
Seel,Starly,Seel
Delphox,KyogrePrimal Kyogre,KyogrePrimal Kyogre
Whiscash,VenusaurMega Venusaur,VenusaurMega Venusaur
Vivillon,Wartortle,Wartortle
Hydreigon,Lucario,Lucario
Nidorina,Corphish,Corphish
Noibat,Baltoy,Baltoy
Articuno,Combusken,Articuno
Crobat,Sudowoodo,Crobat
Skarmory,Tangela,Skarmory
Altaria,WormadamSandy Cloak,Altaria
Emboar,Rayquaza,Rayquaza
Seel,Walrein,Walrein
Servine,GiratinaOrigin Forme,GiratinaOrigin Forme
Kingler,Ariados,Kingler
Pachirisu,GlalieMega Glalie,GlalieMega Glalie
Weepinbell,Lugia,Lugia
Sealeo,Feraligatr,Feraligatr
Diggersby,Tropius,Tropius
Sharpedo,Bunnelby,Sharpedo
Omanyte,Elgyem,Omanyte
PidgeotMega Pidgeot,Roselia,PidgeotMega Pidgeot
Gorebyss,Taillow,Gorebyss
Leavanny,Dialga,Dialga
Misdreavus,Kabutops,Kabutops
Arcanine,Ambipom,Ambipom
Tangrowth,Skorupi,Tangrowth
AbomasnowMega Abomasnow,Dugtrio,AbomasnowMega Abomasnow
Cherrim,Tepig,Cherrim
Manectric,Munna,Manectric
SceptileMega Sceptile,Raichu,Raichu
Golem,RotomFrost Rotom,RotomFrost Rotom
Spritzee,GiratinaAltered Forme,GiratinaAltered Forme
Floette,Tranquill,Tranquill
Shuppet,Piplup,Shuppet
Beldum,Lanturn,Lanturn
Shellos,Weedle,Shellos
Avalugg,Drifloon,Avalugg
Durant,Weepinbell,Durant
Pansage,MeowsticMale,MeowsticMale
Medicham,GarchompMega Garchomp,GarchompMega Garchomp
Aerodactyl,Leafeon,Aerodactyl
Mew,Clawitzer,Mew
KeldeoResolute Forme,Maractus,KeldeoResolute Forme
Wynaut,Zoroark,Zoroark
Cofagrigus,Spoink,Cofagrigus
GiratinaAltered Forme,Celebi,Celebi
Mewtwo,Nidorino,Mewtwo
Hitmontop,Drilbur,Hitmontop
Exeggcute,DeoxysNormal Forme,DeoxysNormal Forme
Jigglypuff,Kyurem,Kyurem
Phantump,Togepi,Phantump
Glameow,Tyranitar,Tyranitar
Solrock,Aurorus,Aurorus
Riolu,Seismitoad,Seismitoad
Cherubi,Sandshrew,Sandshrew
Cubchoo,Greninja,Greninja
Solosis,Vivillon,Vivillon
Togekiss,Mewtwo,Mewtwo
Sudowoodo,RotomWash Rotom,RotomWash Rotom
Wailord,Trubbish,Wailord
Lileep,Azelf,Azelf
Flygon,Kyurem,Flygon
MetagrossMega Metagross,Omastar,MetagrossMega Metagross
Audino,Hippowdon,Hippowdon
Bulbasaur,Rhyperior,Rhyperior
Cofagrigus,Pidgeotto,Cofagrigus
Terrakion,Yanma,Terrakion
Hippowdon,Weavile,Weavile
Slugma,Linoone,Linoone
Pachirisu,Mawile,Mawile
Omanyte,Skorupi,Skorupi
Chatot,Sunflora,Chatot
LopunnyMega Lopunny,Slurpuff,LopunnyMega Lopunny
Axew,Sawk,Sawk
Joltik,Vespiquen,Vespiquen
Tauros,Vaporeon,Vaporeon
Charmander,Kyurem,Kyurem
Pangoro,Breloom,Breloom
TornadusIncarnate Forme,Garbodor,TornadusIncarnate Forme
Shroomish,Slugma,Slugma
LucarioMega Lucario,Masquerain,LucarioMega Lucario
Diglett,Exeggcute,Exeggcute
Shroomish,Reuniclus,Reuniclus
Beautifly,Pansage,Pansage
Vullaby,Donphan,Donphan
LandorusIncarnate Forme,Audino,LandorusIncarnate Forme
Smoochum,Kyurem,Kyurem
Gothorita,GengarMega Gengar,GengarMega Gengar
Totodile,TornadusTherian Forme,TornadusTherian Forme
HoopaHoopa Confined,Scatterbug,HoopaHoopa Confined
Blastoise,Croagunk,Blastoise
Bouffalant,Kakuna,Bouffalant
Chandelure,WormadamTrash Cloak,Chandelure
Barbaracle,Venonat,Barbaracle
Torterra,Gothorita,Torterra
Arcanine,Prinplup,Arcanine
Igglybuff,Regirock,Regirock
Shiftry,Phione,Shiftry
Weezing,Exeggutor,Exeggutor
Darkrai,Gligar,Darkrai
Archeops,Drifblim,Drifblim
PumpkabooAverage Size,Paras,Paras
Mime Jr.,Amoonguss,Amoonguss
Machamp,Shuckle,Machamp
Greninja,Jolteon,Jolteon
Zweilous,BanetteMega Banette,BanetteMega Banette
Mawile,Swellow,Swellow
Pyroar,GourgeistSuper Size,GourgeistSuper Size
Nuzleaf,Florges,Florges
Kyurem,Klinklang,Klinklang
Geodude,Graveler,Graveler
Blitzle,Murkrow,Murkrow
Tranquill,Diancie,Diancie
LandorusTherian Forme,Darumaka,LandorusTherian Forme
Lugia,Bellsprout,Lugia
Anorith,Skiploom,Skiploom
Pawniard,Machop,Pawniard
Cottonee,Genesect,Genesect
TyranitarMega Tyranitar,Munchlax,TyranitarMega Tyranitar
Shuppet,Whimsicott,Whimsicott
Pidgeot,Klink,Pidgeot
ManectricMega Manectric,Chingling,ManectricMega Manectric
Groudon,Uxie,Uxie
Clawitzer,Slaking,Slaking
Accelgor,Garchomp,Accelgor
Scrafty,Lickilicky,Scrafty
Cottonee,Psyduck,Psyduck
Bidoof,Hoppip,Hoppip
Doduo,Happiny,Doduo
Dragonite,Tentacool,Dragonite
WormadamSandy Cloak,Kirlia,WormadamSandy Cloak
CameruptMega Camerupt,Cleffa,CameruptMega Camerupt
Dedenne,Jirachi,Jirachi
Walrein,Beautifly,Walrein
Klinklang,RotomMow Rotom,RotomMow Rotom
Starly,KeldeoResolute Forme,KeldeoResolute Forme
Venipede,Munna,Munna
Heliolisk,Yanmega,Heliolisk
Whismur,Jolteon,Jolteon
Durant,AlakazamMega Alakazam,AlakazamMega Alakazam
Nidorina,PumpkabooLarge Size,PumpkabooLarge Size
Lunatone,SlowbroMega Slowbro,SlowbroMega Slowbro
Dunsparce,Foongus,Dunsparce
Heliolisk,Kingler,Heliolisk
Slugma,SharpedoMega Sharpedo,SharpedoMega Sharpedo
KeldeoOrdinary Forme,GourgeistLarge Size,GourgeistLarge Size
Hitmontop,Dedenne,Dedenne
Kirlia,Clefairy,Clefairy
Aipom,Wooper,Aipom
Luxio,Jirachi,Jirachi
Corsola,Bunnelby,Corsola
Reshiram,CharizardMega Charizard X,CharizardMega Charizard X
Voltorb,Haxorus,Haxorus
Quilava,Lucario,Lucario
Manaphy,Wynaut,Manaphy
Oshawott,Zweilous,Zweilous
Swalot,Monferno,Monferno
GourgeistSmall Size,Elekid,GourgeistSmall Size
Tyrogue,DeoxysAttack Forme,DeoxysAttack Forme
Rampardos,Starly,Rampardos
Shellos,Ambipom,Ambipom
Vullaby,Pikachu,Pikachu
Mr. Mime,Slowbro,Slowbro
Swoobat,Raticate,Swoobat
Binacle,Arceus,Arceus
WormadamPlant Cloak,Stoutland,Stoutland
Shinx,Chimecho,Chimecho
CharizardMega Charizard X,Flygon,Flygon
Elekid,Magneton,Elekid
Lilligant,Spinarak,Lilligant
Lampent,Archen,Archen
Rhyhorn,LucarioMega Lucario,LucarioMega Lucario
Heatran,Noctowl,Heatran
Zigzagoon,Drifblim,Drifblim
Porygon,Zapdos,Zapdos
Chansey,Raichu,Raichu
Plusle,Paras,Plusle
Typhlosion,Torkoal,Torkoal
Abomasnow,Sawsbuck,Sawsbuck
ScizorMega Scizor,Machoke,ScizorMega Scizor
Drifblim,Cresselia,Cresselia
Machop,Skrelp,Skrelp
Machop,Cloyster,Cloyster
Pachirisu,Doublade,Pachirisu
Deerling,Mr. Mime,Mr. Mime
Crobat,Shinx,Crobat
Cottonee,HeracrossMega Heracross,HeracrossMega Heracross
SceptileMega Sceptile,Manaphy,SceptileMega Sceptile
SableyeMega Sableye,Swablu,SableyeMega Sableye
Vespiquen,Nincada,Vespiquen
Quilladin,Snorunt,Quilladin
Wingull,Grovyle,Grovyle
Wigglytuff,Diggersby,Diggersby
GroudonPrimal Groudon,Yamask,GroudonPrimal Groudon
RayquazaMega Rayquaza,Binacle,RayquazaMega Rayquaza
Gallade,Bonsly,Gallade
Gligar,Machoke,Gligar
Swellow,Hitmonlee,Hitmonlee
Zygarde50% Forme,Croagunk,Zygarde50% Forme
Sandile,Bastiodon,Bastiodon
Mesprit,Mienfoo,Mesprit
Pichu,Rhydon,Rhydon
Unfezant,Klinklang,Klinklang
Togekiss,Dewgong,Togekiss
Barboach,Regirock,Regirock
Snover,Tangrowth,Tangrowth
Chesnaught,Foongus,Chesnaught
Weedle,Lopunny,Lopunny
Ho-oh,Wailord,Ho-oh
Kakuna,Haunter,Haunter
Surskit,Larvitar,Surskit
Chesnaught,Bergmite,Chesnaught
Hariyama,Sneasel,Sneasel
Tyranitar,Rapidash,Rapidash
Banette,Houndoom,Houndoom
BeedrillMega Beedrill,Cacturne,BeedrillMega Beedrill
Rhyhorn,GiratinaOrigin Forme,GiratinaOrigin Forme
Nidorino,Azurill,Nidorino
Fearow,Claydol,Fearow
GourgeistAverage Size,Whimsicott,Whimsicott
Gastly,Mewtwo,Mewtwo
Kabuto,Granbull,Granbull
Unfezant,Victreebel,Unfezant
Magnezone,Reuniclus,Reuniclus
Mienshao,Dugtrio,Dugtrio
Bronzor,Starmie,Starmie
Granbull,Pancham,Granbull
SlowbroMega Slowbro,Vibrava,SlowbroMega Slowbro
Marshtomp,LandorusTherian Forme,LandorusTherian Forme
Meowth,Spritzee,Spritzee
Wurmple,Typhlosion,Typhlosion
Venomoth,Kadabra,Kadabra
WormadamSandy Cloak,ManectricMega Manectric,ManectricMega Manectric
Terrakion,Gallade,Gallade
Exploud,Ninjask,Ninjask
Graveler,Cobalion,Cobalion
Regice,KeldeoOrdinary Forme,KeldeoOrdinary Forme
Burmy,Skrelp,Skrelp
Axew,Sawk,Sawk
Cloyster,Cryogonal,Cryogonal
Abomasnow,WormadamPlant Cloak,WormadamPlant Cloak
Mantine,Slowking,Slowking
GiratinaOrigin Forme,Honedge,GiratinaOrigin Forme
Pancham,KyuremWhite Kyurem,KyuremWhite Kyurem
Bronzong,Koffing,Bronzong
Simisear,Regirock,Regirock
Paras,LucarioMega Lucario,LucarioMega Lucario
GarchompMega Garchomp,Amaura,GarchompMega Garchomp
Horsea,Simipour,Simipour
Noctowl,Unown,Noctowl
Poliwag,Cobalion,Cobalion
AegislashShield Forme,Chatot,Chatot
Treecko,Gothitelle,Gothitelle
Cubchoo,Starmie,Starmie
Deino,Milotic,Milotic
Pyroar,Gliscor,Gliscor
Swellow,Victini,Victini
Conkeldurr,KyogrePrimal Kyogre,KyogrePrimal Kyogre
Ledian,Tyrunt,Tyrunt
Snorlax,Volcanion,Volcanion
Rufflet,Lapras,Lapras
Houndour,Helioptile,Helioptile
