Total_p1,Type1_p1,Type2_p1,Speed_p1,Total_p2,Type1_p2,Type2_p2,Speed_p2,Winner,Win_Probability
435,Normal,Fairy,45,328,Psychic,,42,1,1.0
405,Dark,Flying,91,465,Fighting,,45,1,0.46551724137931033
485,Ghost,Dark,35,335,Ghost,Grass,56,1,1.0
355,Rock,Grass,23,528,Grass,,113,0,0.0
700,Dragon,Psychic,110,680,Steel,Dragon,90,0,0.33980582524271846
340,Normal,Flying,80,224,Bug,,36,1,1.0
510,Dark,Ice,125,480,Grass,Fairy,116,1,0.5151515151515151
335,Grass,,35,224,Bug,,36,1,1.0
410,Normal,Water,71,306,Rock,Water,50,1,1.0
540,Normal,,55,360,Normal,,60,1,1.0
400,Bug,,85,309,Ghost,Grass,38,0,0.5641748942172073
450,Normal,,50,580,Psychic,,95,0,0.0
460,Water,,91,520,Electric,Ice,86,1,0.46938775510204084
600,Dark,,125,264,Normal,Flying,43,1,1.0
640,Water,Dark,81,510,Dark,Ice,125,0,0.0
355,Rock,Water,35,318,Grass,,45,0,0.0
505,Fire,,100,488,Normal,Flying,93,1,0.5085599194360524
525,Grass,Poison,80,300,Ice,,50,1,1.0
290,Ground,,10,395,Ice,,59,0,0.0
320,Psychic,Flying,70,205,Bug,,15,1,1.0
455,Fighting,,70,308,Water,,35,1,1.0
300,Water,,65,480,Water,,45,0,0.0
385,Water,,90,423,Normal,Ground,78,1,0.6454316848281643
275,Normal,,55,521,Rock,Ice,58,0,0.0
458,Normal,,90,348,Dark,Fighting,48,1,1.0
365,Poison,,65,420,Normal,,77,0,0.0
505,Dark,Flying,71,409,Fire,,73,0,0.0
430,Water,Flying,65,600,Psychic,,180,0,0.0
580,Fire,Flying,90,410,Normal,Water,71,1,1.0
285,Psychic,,45,540,Fire,,83,0,0.0
340,Grass,Flying,80,200,Bug,,35,1,1.0
424,Bug,Ground,36,520,Electric,Grass,86,0,0.0
535,Poison,Flying,130,494,Ghost,Grass,99,1,0.6841432225063938
395,Grass,Poison,40,305,Ice,,40,0,0.39303482587064675
505,Poison,Ground,85,305,Bug,,25,1,1.0
360,Normal,,60,315,Bug,,60,1,0.36363636363636365
600,Psychic,,150,395,Ice,,59,1,1.0
265,Ground,,95,475,Normal,Grass,95,0,0.0
430,Water,Flying,65,530,Water,Dark,122,0,0.0
530,Water,,78,580,Water,Fighting,108,0,0.0
490,Grass,Poison,70,490,Electric,,105,0,0.0
770,Water,,90,330,Dark,,65,1,1.0
600,Fire,Steel,77,600,Psychic,,85,0,0.0
250,Grass,Flying,50,520,Ground,Dragon,100,0,0.0
251,Normal,Flying,56,450,Ice,Ground,50,0,0.0
250,Grass,Flying,50,292,Ground,Dark,65,0,0.0
580,Rock,,50,460,Water,,98,0,0.0
625,Grass,Poison,80,260,Psychic,,23,1,1.0
580,Steel,,50,320,Poison,Water,30,1,1.0
600,Psychic,Fire,100,465,Fighting,,85,1,0.7207207207207207
458,Poison,,65,275,Normal,,55,1,1.0
428,Electric,Flying,103,314,Water,,71,1,1.0
305,Water,Dark,65,275,Normal,,55,1,0.5258620689655172
278,Psychic,Fairy,50,308,Water,,35,0,0.47440273037542663
290,Bug,,15,316,Fire,,64,0,0.0
600,Psychic,,85,480,Fairy,,72,1,0.5555555555555556
292,Psychic,,24,475,Normal,Grass,95,0,0.0
435,Normal,Fairy,45,600,Dark,Dragon,98,0,0.0
190,Normal,Fairy,20,405,Water,,97,0,0.0
330,Water,,66,484,Bug,Steel,109,0,0.0
480,Water,Ghost,60,303,Fairy,,42,1,1.0
600,Psychic,,150,335,Water,Ghost,40,1,1.0
345,Water,,32,275,Ghost,Fire,20,1,0.7150259067357513
336,Psychic,,48,530,Grass,Fighting,64,0,0.0
220,Water,Grass,30,351,Ground,Dark,74,0,0.0
328,Psychic,,42,600,Ground,Flying,101,0,0.0
534,Fire,,100,580,Electric,Flying,111,0,0.0
420,Dark,,70,213,Bug,,29,1,1.0
310,Water,,40,530,Grass,Fighting,64,0,0.0
498,Fire,,101,370,Ghost,Fire,55,1,1.0
670,Normal,,100,237,Fighting,,25,1,1.0
600,Rock,Dark,61,472,Normal,,102,0,0.0
455,Ghost,,65,525,Ghost,,45,1,0.6341463414634146
580,Electric,Flying,100,445,Normal,,50,1,1.0
600,Rock,Dark,61,300,Dragon,,50,1,1.0
305,Fire,Ground,35,497,Electric,,116,0,0.0
600,Dragon,Psychic,110,580,Water,Fighting,108,1,0.6741573033707865
528,Grass,,113,341,Fairy,,23,1,1.0
360,Normal,,85,520,Electric,Flying,86,0,0.0
385,Normal,,30,700,Dragon,Psychic,110,0,0.0
600,Dragon,Flying,100,275,Electric,,60,1,1.0
390,Rock,Ground,35,700,Dragon,Ice,95,0,0.0
309,Fire,,65,494,Ghost,Grass,99,0,0.0
525,Electric,,130,264,Normal,Flying,43,1,1.0
680,Water,Dragon,100,531,Grass,,68,0,0.39035591274397247
405,Psychic,,33,348,Dark,Fighting,48,0,0.0
509,Water,Ground,74,580,Flying,,121,0,0.0
405,Water,,58,600,Psychic,,85,0,0.0
485,Water,,52,580,Psychic,,80,0,0.0
405,Electric,,95,462,Fairy,,29,1,0.4671280276816609
579,Normal,Flying,121,470,Steel,Fairy,75,0,0.23546156974379828
535,Water,Ground,60,497,Electric,,116,0,0.0
430,Normal,Flying,125,380,Dark,Ghost,50,0,0.0
515,Water,Poison,100,319,Bug,Electric,65,1,1.0
310,Normal,Flying,75,495,Bug,,145,0,0.0
205,Electric,,60,370,Normal,,60,0,0.0
515,Electric,,50,600,Fire,Water,70,0,0.0
500,Bug,,85,600,Psychic,,180,0,0.0
600,Dark,,125,680,Dragon,Electric,90,1,0.46875
310,Normal,Flying,50,308,Water,,45,1,0.5016181229773463
410,Fighting,Psychic,80,600,Dragon,Psychic,110,0,0.0
515,Water,Poison,100,304,Ice,,28,1,1.0
460,Grass,Fighting,70,335,Ghost,Grass,46,1,1.0
350,Rock,Steel,30,275,Normal,,55,0,0.0
305,Fighting,,70,405,Grass,,60,0,0.0
580,Ice,,100,494,Ghost,Grass,69,1,0.7013301088270859
500,Bug,Steel,65,600,Dragon,Ground,95,0,0.0
295,Ghost,,25,305,Fighting,,35,0,0.0
180,Grass,,30,424,Bug,Steel,36,0,0.0
380,Water,Rock,35,423,Normal,Ground,78,0,0.0
300,Fairy,,30,497,Electric,,116,0,0.0
495,Rock,Bug,45,330,Water,,44,1,1.0
330,Steel,Rock,30,700,Dragon,Flying,120,0,0.0
510,Water,Fighting,70,510,Electric,,55,0,0.5
340,Water,,85,369,Fire,Normal,72,1,0.6482364156339371
195,Bug,,45,500,Normal,,80,0,0.0
415,Normal,,45,292,Ground,Dark,65,1,1.0
435,Grass,,60,520,Steel,Ghost,60,0,0.17296222664015903
680,Water,Dragon,100,237,Normal,,57,1,1.0
480,Dark,Ghost,20,351,Ground,Dark,74,1,1.0
634,Fire,Dragon,100,250,Fire,,20,1,1.0
263,Electric,,45,350,Normal,,85,0,0.0
440,Rock,Psychic,70,494,Ghost,Grass,54,0,0.47109207708779444
270,Normal,Flying,85,530,Ice,Ground,80,0,0.0
220,Dark,,35,440,Rock,Psychic,70,0,0.0
405,Grass,Poison,60,355,Psychic,,68,0,0.0
485,Electric,,110,303,Ghost,,30,1,1.0
290,Ice,Water,25,520,Steel,Ghost,60,0,0.0
505,Poison,Ground,76,424,Bug,Flying,66,0,0.0
634,Fire,Dragon,100,490,Poison,Fighting,85,1,0.5640569395017794
505,Bug,Rock,5,520,Ghost,Fire,80,0,0.0
680,Steel,Dragon,90,362,Rock,Dragon,48,1,1.0
600,Ground,Flying,101,500,Fighting,Flying,118,0,0.0
265,Ground,,95,428,Electric,Flying,103,0,0.0
480,Normal,,105,600,Water,,100,1,0.4444444444444444
250,Fire,,20,600,Psychic,,85,0,0.0
400,Water,,60,540,Water,,81,0,0.0
425,Psychic,,65,474,Poison,,75,0,0.0
330,Ice,Flying,75,200,Bug,,35,1,1.0
385,Rock,Ground,70,770,Water,,90,0,0.0
410,Ice,Water,45,452,Dragon,,60,0,0.0
288,Normal,,48,500,Ground,Psychic,75,0,0.0
300,Rock,Ground,20,405,Fire,Fighting,81,0,0.0
320,Water,,63,600,Bug,Steel,99,0,0.0
490,Grass,Poison,70,480,Ice,Ghost,110,0,0.0
640,Water,Dark,81,390,Rock,,20,1,1.0
475,Water,Ground,39,480,Grass,,90,0,0.0
600,Psychic,Grass,100,460,Grass,Flying,51,1,1.0
528,Fire,Fighting,65,498,Water,,101,0,0.0
510,Water,Fighting,70,465,Bug,Steel,40,1,0.5230769230769231
482,Dark,Psychic,73,306,Rock,Water,50,1,1.0
495,Rock,Bug,45,498,Fire,,101,0,0.0
460,Grass,Flying,110,600,Psychic,Fire,100,0,0.0
414,Bug,Flying,60,310,Bug,Grass,42,1,1.0
320,Electric,,90,370,Psychic,,30,1,0.463768115942029
405,Ground,,120,600,Bug,Fighting,75,0,0.0
505,Fire,,100,330,Electric,,100,1,1.0
428,Electric,Flying,103,500,Rock,Water,68,1,0.46120689655172414
365,Poison,,65,330,Psychic,,60,0,0.5251798561151079
600,Dragon,Psychic,110,670,Ground,,90,1,0.47244094488188976
600,Dragon,Flying,100,530,Water,Steel,60,1,0.22058823529411764
610,Steel,Ground,30,410,Fighting,Psychic,80,1,1.0
540,Normal,,55,600,Rock,Dark,61,0,0.0
460,Water,,98,521,Rock,Dragon,71,1,0.4689092762487258
250,Water,Fairy,40,470,Psychic,,80,0,0.0
520,Electric,Grass,86,401,Rock,Flying,70,0,0.7217210270645386
430,Dark,Ice,115,409,Fire,,73,1,0.34455128205128205
567,Rock,Flying,110,300,Dragon,,40,1,1.0
320,Psychic,Flying,70,280,Grass,Poison,55,0,0.8205128205128205
385,Normal,,30,475,Bug,Rock,45,0,0.0
335,Water,Poison,70,530,Water,Dark,122,0,0.0
470,Psychic,,80,335,Water,Ghost,40,1,1.0
220,Water,Grass,30,535,Ground,Rock,40,0,0.0
770,Water,,90,520,Ghost,Fire,80,1,1.0
405,Ghost,Poison,95,250,Fire,,20,1,1.0
600,Dragon,Psychic,110,424,Bug,Grass,36,1,1.0
530,Steel,Rock,50,384,Water,Ground,69,1,1.0
700,Rock,Dark,71,430,Steel,Rock,40,1,1.0
500,Poison,Dark,95,600,Psychic,,85,1,0.625
400,Bug,,85,460,Water,Dark,95,0,0.0
515,Bug,Flying,95,525,Ghost,,45,1,0.329073482428115
330,Ground,,40,520,Steel,Ghost,60,0,0.0
455,Fighting,,70,308,Grass,,63,1,1.0
400,Psychic,,105,600,Ghost,Poison,130,0,0.0
300,Grass,Poison,40,218,Fairy,,15,1,1.0
590,Normal,,100,580,Normal,Fighting,135,0,0.0
325,Water,,50,567,Rock,Flying,110,0,0.0
525,Fire,,65,490,Water,Psychic,30,1,0.3488372093023256
260,Normal,,50,308,Grass,,63,0,0.0
500,Bug,Fighting,85,340,Water,Grass,50,1,1.0
490,Grass,,50,505,Dark,Flying,71,0,0.0
600,Bug,Steel,75,535,Normal,,90,0,0.0
680,Psychic,Flying,110,325,Bug,Rock,55,1,1.0
405,Electric,,95,494,Ghost,Grass,69,0,0.2907394113424264
450,Water,,68,380,Dark,Ghost,50,0,0.5421686746987951
580,Psychic,,115,452,Dragon,,60,0,0.562015503875969
330,Water,Electric,67,480,Water,,45,0,0.0
270,Normal,Fairy,20,430,Water,Poison,85,0,0.0
405,Electric,,95,302,Poison,,40,1,1.0
523,Electric,,70,567,Rock,Flying,110,0,0.0
300,Ground,Psychic,55,580,Water,Fighting,108,0,0.0
520,Grass,Psychic,55,269,Bug,Water,65,1,1.0
495,Rock,Ground,45,313,Grass,,38,1,1.0
410,Fire,Rock,30,630,Steel,,50,0,0.0
600,Ghost,Poison,130,495,Rock,Steel,30,0,0.0
395,Bug,Poison,75,700,Dragon,Flying,120,0,0.0
420,Dragon,,70,370,Normal,,60,1,0.5316455696202531
505,Poison,Ground,85,580,Ice,,100,0,0.0
535,Normal,,90,520,Electric,Water,86,0,0.5071090047393365
770,Water,,90,505,Fighting,,45,1,1.0
490,Water,Psychic,30,405,Electric,,95,0,0.0
380,Water,Rock,35,700,Dragon,Flying,120,0,0.0
435,Ghost,,85,520,Electric,Ice,86,0,0.0
630,Water,,78,262,Normal,Flying,50,1,1.0
335,Water,Poison,70,530,Grass,,120,0,0.0
618,Psychic,Fairy,100,494,Ghost,Grass,99,0,0.5557553956834532
218,Fairy,,15,330,Psychic,,60,0,0.0
390,Bug,Flying,85,424,Bug,Steel,36,0,0.3150242326332795
305,Ice,,40,305,Bug,,25,1,0.5
440,Water,,85,411,Normal,Flying,91,0,0.0
580,Ice,,50,348,Dark,Fighting,48,1,1.0
309,Fire,,65,269,Bug,Water,65,1,0.36481700118063753
300,Normal,,75,580,Electric,Flying,111,0,0.0
505,Dark,Flying,71,480,Water,,80,0,0.0
575,Electric,,135,410,Dragon,,67,1,1.0
534,Fire,Flying,100,600,Dragon,,80,1,0.3079584775086505
288,Poison,,55,288,Water,Ground,60,0,0.0
480,Grass,Dark,80,523,Electric,,70,0,0.4785643070787637
450,Bug,Poison,90,310,Grass,,70,1,1.0
510,Steel,Ground,30,278,Psychic,Fairy,50,1,1.0
523,Electric,,70,498,Grass,,101,0,0.0
480,Dark,Ghost,20,468,Water,Ground,60,0,0.0
442,Normal,Flying,100,365,Fire,,83,0,0.5477075588599752
420,Steel,Psychic,50,500,Fighting,Flying,118,0,0.0
405,Fire,Fighting,55,600,Psychic,,150,0,0.0
330,Electric,,100,305,Ice,,40,1,0.5196850393700787
490,Dark,Steel,70,341,Fairy,,23,1,1.0
405,Dark,Flying,91,330,Psychic,,60,1,0.7105263157894737
600,Dragon,Flying,80,420,Normal,,70,1,1.0
670,Water,,90,194,Bug,,25,1,1.0
300,Rock,Ground,20,460,Psychic,Fairy,90,0,0.0
535,Normal,,90,489,Grass,Steel,20,1,0.3536021150033047
310,Fire,,45,510,Fighting,Psychic,100,0,0.0
300,Grass,Poison,40,290,Rock,,10,1,0.5084745762711864
250,Grass,Flying,50,328,Ground,,68,0,0.0
320,Water,,63,200,Water,,80,1,1.0
470,Psychic,,80,520,Steel,Ghost,60,1,0.31125827814569534
295,Ghost,,25,600,Dragon,Psychic,110,0,0.0
316,Fire,,64,425,Psychic,Flying,114,0,0.0
224,Bug,,36,328,Ground,,68,0,0.0
415,Normal,,45,220,Water,Grass,30,1,1.0
514,Ice,,28,680,Dark,Flying,99,0,0.0
500,Ground,Psychic,75,510,Ground,Flying,95,0,0.0
600,Dragon,Flying,80,494,Grass,Ice,60,0,0.7083825265643447
318,Grass,,31,494,Ghost,Grass,99,0,0.0
530,Steel,Rock,50,290,Psychic,,20,1,1.0
288,Poison,,55,385,Bug,Poison,65,0,0.0
300,Dragon,,50,410,Rock,Ground,51,0,0.0
465,Bug,Steel,40,281,Dark,,66,1,1.0
295,Ghost,,45,481,Electric,Normal,109,0,0.0
700,Rock,Dark,71,420,Normal,,77,1,1.0
485,Electric,,110,240,Normal,,60,1,1.0
485,Normal,Flying,100,535,Flying,Dragon,123,0,0.0
300,Water,,90,316,Grass,,64,0,0.3218884120171674
316,Water,,64,315,Bug,,60,1,0.5007923930269413
285,Bug,Grass,25,270,Water,Flying,85,0,0.0
465,Electric,Steel,70,600,Fire,Steel,77,0,0.0
405,Psychic,,33,308,Grass,,63,1,1.0
305,Fighting,,35,560,Water,Dark,105,0,0.0
198,Psychic,Fairy,40,485,Water,,52,0,0.0
420,Dragon,,50,300,Poison,Fighting,50,1,1.0
600,Psychic,,180,475,Bug,Rock,45,1,0.5581395348837209
458,Normal,,90,237,Normal,,57,1,1.0
590,Dragon,Fairy,80,480,Normal,,105,0,0.0
680,Psychic,Flying,110,325,Water,,34,1,1.0
300,Ice,,50,420,Dark,Dragon,58,0,0.0
330,Poison,Bug,65,534,Fire,Psychic,104,0,0.0
315,Water,Psychic,15,490,Psychic,Flying,97,0,0.0
530,Water,Steel,60,320,Poison,Water,30,1,1.0
363,Electric,,60,275,Ghost,Fire,20,1,1.0
400,Water,,60,413,Grass,,83,0,0.0
440,Normal,,90,485,Water,Rock,55,0,0.3120567375886525
495,Bug,,145,470,Steel,Fairy,75,0,0.20842105263157895
475,Water,,75,210,Fighting,,35,1,1.0
405,Fire,,80,205,Bug,,15,1,1.0
310,Normal,Flying,50,500,Fighting,Flying,118,0,0.0
415,Normal,,90,580,Steel,Fighting,108,0,0.0
500,Bug,,85,200,Water,,80,1,1.0
467,Poison,,55,294,Grass,Poison,15,1,1.0
625,Grass,Poison,80,500,Bug,Fighting,85,0,0.0
299,Fire,,65,498,Grass,,101,0,0.0
420,Normal,,77,500,Bug,Grass,92,0,0.0
580,Fire,Flying,90,213,Bug,,29,1,1.0
400,Bug,,85,580,Water,Fighting,108,0,0.0
395,Bug,Flying,70,405,Fire,,80,0,0.0
590,Normal,,100,525,Fire,,65,0,0.5291479820627802
500,Water,,70,567,Rock,Flying,110,0,0.0
269,Bug,Water,65,405,Grass,,36,0,0.0
495,Rock,Ground,45,525,Ghost,,45,0,0.32038834951456313
500,Normal,,55,340,Ground,Dragon,70,1,1.0
500,Bug,Steel,65,410,Ice,Water,45,0,0.5494505494505495
470,Psychic,Flying,95,362,Rock,Ice,46,1,0.3936348408710218
500,Fire,,105,348,Fighting,,43,1,1.0
456,Bug,Flying,160,670,Ground,,90,0,0.0
468,Water,Ground,60,600,Dark,Dragon,98,0,0.0
680,Psychic,Flying,110,305,Water,Flying,55,1,1.0
515,Normal,,60,350,Fighting,,65,1,1.0
400,Bug,,85,431,Electric,Fairy,101,0,0.0
365,Poison,,65,310,Bug,Grass,42,0,0.7019230769230769
250,Grass,Flying,50,535,Electric,Steel,60,0,0.0
320,Electric,,90,400,Grass,Poison,65,0,0.2857142857142857
625,Grass,Poison,80,600,Steel,Psychic,70,0,0.0
288,Water,Ground,60,471,Ground,Electric,32,0,0.0
300,Rock,Ground,41,575,Electric,,135,0,0.0
330,Water,,85,530,Grass,Fighting,64,0,0.0
390,Bug,Flying,85,498,Ghost,Flying,80,0,0.163727959697733
310,Normal,Flying,75,410,Dragon,Ground,82,0,0.0
490,Grass,Poison,50,410,Fire,,90,0,0.0
525,Grass,,80,260,Normal,,50,1,1.0
780,Psychic,Fighting,130,490,Grass,,50,1,1.0
455,Ghost,,25,475,Bug,Rock,45,0,0.0
440,Normal,,90,275,Ghost,Fire,20,1,1.0
280,Normal,,30,300,Dark,Dragon,38,0,0.0
420,Water,Fairy,50,320,Dragon,,57,1,1.0
330,Steel,Rock,30,483,Ground,Ghost,55,0,0.0
480,Ice,Ghost,110,600,Dragon,Ground,95,0,0.7619047619047619
520,Electric,Ice,86,328,Ground,,68,1,1.0
580,Rock,Fighting,108,448,Steel,Ghost,35,0,0.0
290,Normal,,90,580,Psychic,,80,0,0.0
414,Bug,Flying,60,418,Fire,Fighting,55,0,0.3312
495,Fire,,93,375,Rock,,30,1,1.0
505,Fighting,,55,240,Normal,,60,1,1.0
460,Water,Electric,67,255,Normal,,42,1,1.0
395,Bug,Poison,75,515,Grass,Poison,90,0,0.0
300,Water,,90,455,Fighting,,76,0,0.0
305,Fighting,,35,320,Dragon,,57,0,0.0
468,Water,Dark,55,510,Dark,Flying,80,0,0.0
385,Bug,Poison,65,720,Normal,,120,0,0.0
510,Electric,,55,580,Water,,85,0,0.0
308,Fire,,45,580,Flying,,111,0,0.0
385,Normal,,30,565,Dark,,115,0,0.0
325,Water,,34,494,Poison,Dragon,44,0,0.0
435,Normal,Fairy,45,500,Dark,Fire,95,0,0.0
525,Water,Ice,70,480,Water,,80,0,0.0
460,Normal,Flying,100,600,Dark,Dragon,98,0,0.0
460,Grass,Fighting,70,600,Psychic,,90,0,0.0
600,Dragon,Flying,100,600,Psychic,,85,0,0.5
195,Bug,Poison,50,395,Bug,Poison,75,0,0.0
330,Ground,,40,300,Rock,Ground,41,0,0.0
580,Electric,Flying,111,405,Water,,97,1,1.0
310,Ghost,Poison,80,355,Rock,Bug,75,0,0.30392156862745096
525,Psychic,,110,490,Psychic,Flying,97,0,0.3488372093023256
455,Fighting,,76,580,Fire,Flying,90,0,0.0
424,Bug,Grass,36,350,Fighting,,65,0,0.0
180,Grass,,30,540,Normal,,55,0,0.0
475,Normal,Grass,95,335,Ghost,Grass,56,1,1.0
430,Water,Ground,35,280,Grass,Poison,55,1,1.0
495,Rock,Water,80,425,Psychic,,65,1,0.5380434782608695
670,Normal,,100,600,Ground,Flying,91,1,0.5275590551181102
300,Water,,65,304,Ice,,28,0,0.4966887417218543
295,Ghost,,45,384,Bug,,65,0,0.0
410,Rock,Ground,51,303,Fairy,,42,1,1.0
210,Normal,Fairy,15,523,Electric,,70,0,0.0
490,Dragon,Flying,80,534,Fire,Psychic,104,0,0.0
474,Bug,Flying,40,440,Steel,,50,0,0.0
680,Fire,Flying,90,498,Fire,,101,1,1.0
420,Steel,Psychic,50,680,Water,Dragon,100,0,0.0
340,Normal,Flying,80,335,Water,Ghost,40,0,0.0
305,Fighting,,35,475,Normal,Grass,95,0,0.0
494,Grass,Ice,60,440,Steel,,50,0,0.2191659272404614
485,Dragon,,48,580,Steel,Fighting,108,0,0.0
510,Dark,Ice,125,448,Steel,Ghost,35,1,0.5323590814196242
520,Electric,Flying,86,290,Psychic,,20,1,1.0
495,Bug,Poison,145,483,Psychic,,67,1,0.6720977596741344
425,Psychic,,65,540,Electric,,95,0,0.0
634,Fire,Dragon,100,525,Rock,Steel,40,1,0.37648456057007124
580,Psychic,,115,308,Water,,45,1,1.0
475,Water,,75,494,Ghost,Grass,99,0,0.0
245,Poison,Flying,55,380,Water,Rock,35,0,0.0
355,Rock,Water,55,307,Fire,,60,0,0.0
530,Grass,,120,458,Poison,,65,0,0.3665283540802213
300,Water,,90,410,Rock,,30,0,0.0
405,Water,Ground,50,269,Bug,Water,65,1,1.0
515,Normal,,60,350,Normal,,85,1,1.0
285,Bug,Grass,25,350,Rock,,58,0,0.0
405,Fire,,80,487,Psychic,,29,1,0.45403587443946186
325,Grass,Psychic,40,289,Electric,Normal,70,0,0.0
440,Electric,Ghost,91,600,Normal,Psychic,90,0,0.0
330,Water,Electric,67,500,Steel,Psychic,33,0,0.0
253,Normal,,72,340,Poison,,35,0,0.0
220,Grass,,30,428,Electric,Flying,103,0,0.0
680,Ghost,Dragon,90,528,Fire,Fighting,65,0,0.5629139072847682
435,Normal,Fairy,45,490,Poison,,60,0,0.0
500,Bug,Flying,105,520,Electric,Fire,86,0,0.1937984496124031
400,Bug,,85,244,Bug,Flying,70,1,1.0
495,Water,,115,405,Electric,,40,1,0.55
510,Water,Fighting,70,360,Bug,Poison,47,1,1.0
365,Poison,,56,455,Poison,Flying,90,0,0.0
455,Ghost,,25,495,Ghost,,105,0,0.0
405,Grass,,60,515,Grass,Poison,90,0,0.0
580,Rock,Fighting,108,520,Steel,Ghost,60,0,0.0
510,Electric,,55,580,Steel,,50,1,0.46788990825688076
520,Grass,Psychic,55,455,Ghost,,25,0,0.5333333333333333
205,Bug,Poison,35,494,Ghost,Grass,54,0,0.0
590,Normal,,100,780,Dragon,Flying,115,0,0.0
465,Normal,,85,340,Grass,Dark,60,1,1.0
384,Bug,,65,531,Grass,,68,0,0.0
435,Grass,,60,600,Dragon,Psychic,110,0,0.0
590,Normal,,100,528,Fire,Fighting,65,0,0.5277280858676208
530,Steel,Rock,50,295,Electric,,65,1,1.0
305,Water,Dark,65,320,Dragon,,57,0,0.32275132275132273
460,Psychic,Fairy,90,580,Steel,,50,0,0.16546762589928057
305,Fire,Ground,35,460,Water,,91,0,0.0
440,Water,,85,580,Flying,,121,0,0.0
329,Poison,Dark,74,300,Normal,,75,0,0.0
525,Dark,,65,413,Grass,,83,0,0.0
518,Psychic,Fairy,80,484,Bug,Steel,109,0,0.0
580,Electric,Flying,100,535,Ground,Rock,40,0,0.0
480,Ice,,80,300,Steel,Psychic,23,1,1.0
446,Dark,,106,384,Water,Ground,69,0,0.5373493975903615
280,Electric,,35,446,Dark,,106,0,0.0
195,Bug,Poison,50,462,Fairy,,29,0,0.0
450,Water,,68,380,Normal,,70,0,0.0
490,Water,Psychic,30,465,Bug,Steel,40,0,0.0
580,Rock,,50,309,Fire,,61,1,1.0
535,Water,Ground,60,454,Grass,,46,0,0.2275627392598894
495,Rock,,58,330,Water,,44,1,1.0
314,Water,,43,515,Rock,Flying,130,0,0.0
458,Normal,,90,580,Psychic,,95,0,0.0
465,Normal,,85,480,Water,Grass,70,0,0.49206349206349204
340,Water,,85,335,Ghost,Grass,56,1,0.33663366336633666
490,Normal,,100,494,Ghost,Grass,99,0,0.0
634,Fire,Dragon,100,255,Normal,,42,1,1.0
195,Bug,Poison,50,318,Grass,,31,0,0.0
349,Normal,Flying,71,680,Fire,Flying,90,0,0.0
525,Grass,Poison,80,260,Psychic,,23,1,1.0
294,Grass,Poison,15,700,Dragon,Ice,95,0,0.0
500,Water,,60,300,Dragon,,50,1,1.0
305,Fighting,,35,275,Electric,,60,0,0.0
490,Normal,,68,470,Normal,,115,0,0.0
520,Grass,Psychic,55,300,Ice,,50,1,1.0
253,Normal,,72,495,Rock,Water,80,0,0.0
380,Bug,Grass,42,490,Dark,Steel,70,0,0.0
314,Water,,43,520,Electric,Flying,86,0,0.0
205,Bug,,30,410,Dragon,,67,0,0.0
490,Normal,,100,335,Ghost,Grass,41,1,1.0
600,Steel,Psychic,100,340,Normal,Flying,80,1,1.0
405,Fire,,80,495,Rock,,58,0,0.2903225806451613
505,Fighting,,55,401,Rock,Flying,70,0,0.0
290,Psychic,,45,600,Ground,Flying,91,0,0.0
456,Bug,Flying,160,380,Bug,Grass,42,1,0.9056603773584906
590,Normal,,100,390,Normal,,5,1,1.0
600,Dark,,125,350,Grass,,52,1,1.0
565,Dark,,115,295,Electric,,76,1,1.0
280,Grass,Fairy,66,275,Ghost,Fire,20,0,0.2028985507246377
580,Electric,Flying,100,305,Fighting,,35,1,1.0
680,Fire,Flying,90,405,Electric,,95,1,1.0
535,Water,Ground,60,485,Water,Rock,55,1,0.6881028938906752
405,Electric,,95,480,Normal,,105,0,0.0
380,Normal,,70,345,Water,Flying,50,1,0.5241379310344828
330,Psychic,,60,452,Dragon,,60,0,0.0
495,Rock,Steel,30,424,Bug,Steel,36,0,0.0
320,Ground,,35,487,Psychic,,29,0,0.0
400,Psychic,,105,500,Normal,,55,0,0.4444444444444444
375,Rock,,30,600,Rock,Fairy,50,0,0.0
460,Grass,Fighting,70,335,Normal,Grass,75,1,1.0
325,Water,,50,495,Water,Rock,32,0,0.0
500,Bug,Fighting,85,600,Psychic,,90,0,0.0
420,Normal,,70,455,Ghost,,25,0,0.0
600,Dark,Fire,115,534,Fire,Fighting,108,1,0.21929824561403508
590,Normal,,100,260,Bug,Poison,57,1,1.0
405,Grass,,60,534,Fire,Fighting,108,0,0.0
411,Normal,Flying,91,482,Dark,Psychic,73,1,0.46024636058230683
580,Ice,,100,680,Dragon,Fire,90,1,0.4603174603174603
430,Water,Poison,85,481,Electric,Normal,109,0,0.0
600,Dark,Dragon,98,514,Ice,,28,0,0.5385996409335727
610,Steel,Ground,30,600,Bug,Fighting,75,0,0.0
365,Poison,,56,530,Ice,Water,65,0,0.0
579,Normal,Flying,121,310,Grass,,70,1,1.0
335,Water,Poison,70,508,Ground,Steel,88,0,0.0
320,Water,,63,362,Rock,Dragon,48,1,0.46920821114369504
520,Electric,Fire,86,390,Rock,,20,1,1.0
420,Dark,,70,700,Dragon,Ground,92,0,0.0
250,Bug,Poison,30,540,Fire,,83,0,0.0
250,Water,Fairy,40,300,Steel,,30,1,0.29411764705882354
600,Psychic,,150,316,Water,,64,1,1.0
456,Bug,Flying,160,700,Rock,Fairy,110,0,0.0
330,Water,Electric,67,680,Ghost,Dragon,90,0,0.0
